City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
253,Castro,BR,-24.7911,-50.0119,61.88,94,71,3.31,broken clouds
254,Ust-Tsilma,RU,65.441,52.1498,-8.46,90,85,2.04,overcast clouds
255,Manggar,ID,-2.8833,108.2667,81.41,77,63,10.71,broken clouds
256,Buraydah,SA,26.326,43.975,59.0,67,0,6.91,clear sky
257,Livingston,GB,55.9029,-3.5226,26.6,68,20,13.8,few clouds
258,Dikson,RU,73.5069,80.5464,-25.74,87,100,10.89,overcast clouds
259,Norman Wells,CA,65.282,-126.8329,-5.8,77,20,9.22,few clouds
260,Uige,AO,-7.6087,15.0613,65.95,96,5,1.16,clear sky
261,Dapaong,TG,10.8639,0.205,75.27,17,0,6.82,clear sky
262,Sakaiminato,JP,35.55,133.2333,42.8,87,75,3.44,broken clouds
263,Druzhba,UA,52.0428,33.9453,6.87,95,100,9.31,overcast clouds
264,Bilibino,RU,68.0546,166.4372,-17.09,81,49,1.32,scattered clouds
265,Zarubino,RU,42.63,131.0922,32.7,95,100,2.59,overcast clouds
266,Nanortalik,GL,60.1432,-45.2371,34.18,83,100,9.84,overcast clouds
267,Point Pedro,LK,9.8167,80.2333,75.49,83,29,9.08,scattered clouds
268,Guatire,VE,10.4762,-66.5427,75.2,88,40,4.61,scattered clouds
269,Adrar,MR,20.5022,-10.0711,64.49,21,0,10.92,clear sky
270,Tabas,IR,33.5959,56.9244,48.2,21,0,6.91,clear sky
271,Alice Springs,AU,-23.7,133.8833,66.2,100,90,9.22,mist
272,Chara,RU,56.9064,118.2631,-10.28,81,100,5.14,overcast clouds
273,Cozumel,MX,20.5083,-86.9458,78.01,88,1,3.44,clear sky
274,Beringovskiy,RU,63.05,179.3167,-13.5,88,100,28.14,light snow
275,Marawi,PH,7.9986,124.2928,82.99,76,20,4.0,few clouds
276,Chigorodo,CO,7.6664,-76.6811,76.12,85,98,3.58,overcast clouds
277,Vardo,NO,70.3705,31.1107,20.35,92,98,8.23,overcast clouds
278,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,63,90,9.22,overcast clouds
279,Numan,NG,9.4667,12.0333,71.74,21,96,2.75,overcast clouds
280,Talnakh,RU,69.4865,88.3972,-22.0,85,100,1.16,overcast clouds
281,Lata,PT,40.1629,-8.3327,52.0,97,100,2.26,overcast clouds
282,Darhan,MN,49.4867,105.9228,-12.1,82,7,1.86,clear sky
283,Damietta,EG,31.4165,31.8133,60.8,82,0,5.75,clear sky
284,Kjollefjord,NO,70.9457,27.3465,12.2,79,0,16.11,clear sky
285,Minuri,PH,16.535,121.8574,71.83,85,97,1.7,overcast clouds
286,Kiunga,PG,-6.1219,141.2906,74.3,97,100,2.73,overcast clouds
287,Jiaocheng,CN,24.6774,116.1389,60.85,76,100,1.92,overcast clouds
288,Mandurah,AU,-32.55,115.7,75.99,53,0,5.12,clear sky
289,Turayf,SA,31.6725,38.6637,50.0,81,0,13.8,clear sky
290,Mehamn,NO,71.0357,27.8492,12.2,79,0,16.11,clear sky
291,Malakal,SS,9.5334,31.6605,74.08,20,0,5.73,clear sky
292,Vila Franca Do Campo,PT,37.7167,-25.4333,60.01,94,20,12.66,few clouds
293,La Ronge,CA,55.1001,-105.2842,-18.4,69,31,1.23,scattered clouds
